"Story","Title","Result","Date","Stability","Duration (s)"
"Get country by name test","Assignment 2: Verifying capital of Oslo","SUCCESS","2020-05-07T09:58:24.409-06:00[America/Denver]","0.0","9.09"
"Get country by name test","Assignment 1: Verifying 404 Not found","SUCCESS","2020-05-07T09:58:33.915-06:00[America/Denver]","0.0","0.34"
"Get country by name test","Assignment 1: Verifying Republic of India ","SUCCESS","2020-05-07T09:58:34.31-06:00[America/Denver]","0.0","0.42"
"Post customer registration test","The customer is able to create an account","SUCCESS","2020-05-07T09:58:39.793-06:00[America/Denver]","0.0","0.7"
"Post customer registration test","The customer is not able to create an account with the information registered already","SUCCESS","2020-05-07T09:58:40.498-06:00[America/Denver]","0.0","0.37"
"Verify login test","Verify login is successful","SUCCESS","2020-05-07T09:58:40.97-06:00[America/Denver]","0.0","0.5"
"Verify login test","Verify login is unsuccessful","SUCCESS","2020-05-07T09:58:41.475-06:00[America/Denver]","0.0","0.44"
