"Story","Title","Result","Date","Stability","Duration (s)"
"Post customer registration test","The customer is able to create an account","SUCCESS","2020-05-07T09:58:39.793-06:00[America/Denver]","0.0","0.7"
"Post customer registration test","The customer is not able to create an account with the information registered already","SUCCESS","2020-05-07T09:58:40.498-06:00[America/Denver]","0.0","0.37"
